source,company,segment,signal,offer_angle,score,status,next_action,notes
"https://en.wikipedia.org/wiki/PointClear","PointClear","B2B lead generation agency","Public profile describes prospect development and outsourced prospecting services","Offer overflow prospect research and personalized draft support for B2B campaigns","13","research_more","Find current website contact path and verify whether they serve SMB or enterprise clients","Potential competitor and possible channel partner; do not imply relationship"
"https://en.wikipedia.org/wiki/Business.com","Business.com","B2B media and lead generation","Public profile describes B2B advertising demand generation and lead generation products","Offer niche research support for SMB-focused lead gen content or sales-ready lead enrichment","10","watch","Do not outreach until a more specific team/contact/request is found","Too large and likely low fit for early manual service"
"https://en.wikipedia.org/wiki/StructuredWeb","StructuredWeb","Partner marketing automation SaaS","Public profile describes B2B partner/channel marketing automation","Offer partner/reseller prospect research support for channel campaigns","11","research_more","Look for partner marketing ops contact or current hiring signal","Possible fit but likely enterprise-oriented"
"https://fr.wikipedia.org/wiki/PhantomBuster","PhantomBuster","Sales prospecting automation platform","Public profile describes B2B revenue teams using lead generation and data automation workflows","Use as market/positioning reference rather than first outreach target","8","watch","Study positioning and compliance language before writing public offer content","Competitor/tool ecosystem; not first buyer"
"https://en.wikipedia.org/wiki/Implement_AI","Implement AI","AI automation managed services","Public profile describes managed services for AI adoption among SMEs","Offer white-label lead research for SME AI adoption campaigns","12","research_more","Find current contact path and verify if they use partner/vendor support","Possible channel partner; UK SME focus is relevant"
"https://www.techradar.com/pro/we-are-committed-to-helping-business-owners-harness-ai-more-fully-and-effectively-anthropic-reveals-claude-for-small-business-to-help-close-the-gap-using-ai","SMB AI adoption workshop ecosystem","Small business AI adoption","Article describes Anthropic small business push with workflows for finance sales HR marketing and service","Use content angle: AI service providers need practical sales research around SMB adoption","9","market_signal","Turn into public content and search queries; not a direct prospect","Market signal only"
"https://ecosystem.hubspot.com/marketplace/solutions/all","On The Fuze (OTF)","HubSpot consulting for lean teams","HubSpot listing says they help lean growing companies win more business reduce no-shows improve conversion and scale with less headcount","Offer white-label prospect research for lean teams and HubSpot consulting clients needing more qualified opportunities","15","blocked","Needs non-Gmail/business email, phone number, and HubSpot plan dropdown value before contact form can accept submission","Strong fit: lean-team positioning and conversion focus match our trial offer"
"https://ecosystem.hubspot.com/marketplace/solutions/all","digitalJ2 | RevOps & HubSpot Implementations","RevOps and HubSpot implementations","HubSpot listing says they design and optimize revenue systems and serve manufacturing healthcare financial services MSP franchises and professional services","Offer vertical-specific prospect research packs for RevOps campaigns in their named industries","14","blocked","Public email candidate et@digitalj2.com found; needs Gmail app password/browser verification before sending","Good fit because they name industries and RevOps execution needs"
"https://ecosystem.hubspot.com/marketplace/solutions/all","Instrumental Group","HubSpot scaling and growth campaigns","HubSpot listing says they help companies scale with HubSpot from small projects to growth campaigns CRM and websites","Offer research support for small projects and growth campaigns where client teams need faster prospect targeting","13","blocked","Contact form has reCAPTCHA enabled and does not accept API submissions","Fit is good but public listing is broad; keep ask small"
"https://ecosystem.hubspot.com/marketplace/solutions/all","HubSnacks FlexPlan","HubSpot onboarding cleanup and integrations","HubSpot listing says they offer pay-as-you-go setup check-fixing scaling and CRM migration via HubScrub","Offer targeted lists for companies likely to need HubSpot cleanup migration or integration support","15","contacted","Submitted personalized HubSpot form inquiry via https://www.hubsnacks.com/contact","Strong fit: their cleanup and migration language maps directly to our CRM-cleanup prospecting angle"
"https://ecosystem.hubspot.com/marketplace/solutions/all","Cetrix Cloud Services (CETDIGIT)","HubSpot implementation automation and AI services","HubSpot listing says they serve startups and nonprofits and specialize in AI voice/chat agents predictive automation data cleansing and CRM migration","Offer AI/CRM prospect research for startup and nonprofit segments plus data-cleansing lead signals","14","blocked","Contact form has reCAPTCHA; public email sales@cetdigit.com found but Gmail SMTP needs app password/browser verification","Good fit: AI plus data cleansing plus CRM migration"
